Tema,Item,Peso
Fundamentos,Simplificar potencias,1
Fundamentos,Simplificar funciones racionales,1
Fundamentos,Aplicar propiedades de las funciones logarítmicas,1
Fundamentos,Aplicar propiedades de las funciones exponenciales,1
Fundamentos,Resolver una ecuación de primer grado,1
Fundamentos,Resolver una ecuación de segundo grado,1
Fundamentos,Resolver un sistema de dos ecuaciones,1
Fundamentos,Calcular la imagen de una función para un valor dado,1
Fundamentos,Calcular la antiimagen de una función para un valor dado,1
Geometría,Calcular la hipotenusa de un triángulo rectángulo,1
Derivadas,Calcular derivada de una función elemental,1
Derivadas,Aplicar la regla de la cadena para derivar funciones compuestas,2
Derivadas,"Identificar la derivada en un enunciado (tasa de variación, velocidad, etc)",2
Derivadas,Interpretar la derivada como tasa de variación instantánea o velocidad instantánea,3
Derivadas,Interpretar la segunda derivada como aceleración,3
Derivadas,Calcular la pendiente de la recta tangente a una función en un punto,2
Derivadas,Calcular la ecuación de la recta tangente a una función en un punto,2
Derivadas,Calcular la pendiente de la recta normal a una función en un punto,2
Derivadas,Calcular la ecuación de la recta normal a una función en un punto,2
Derivadas,Usar la derivada para transmitir la variación de la variable independiente a la dependiente ,3
Derivadas,Usar la derivada para transmitir la variación de la variable dependiente a la independiente,3
Derivadas,Usar la derivada para la transmisión de errores absolutos,3
Derivadas,Usar la derivada para la transmisión de errores relativos,3
Derivadas,Usar la derivada para aproximar la variación que experimentará una función,3
Derivadas,Usar la recta tangente para aproximar el valor de una función,3
Derivadas,Calcular los puntos críticos de una función,2
Derivadas,Estudiar el crecimiento de una función,3
Derivadas,Estudiar los extremos relativos de una función,3
Derivadas,Calcular los puntos de inflexión de una función,3
Derivadas,Estudiar la curvatura de una función,3
Integrales,Calcular la integral de una función elemental,1
Integrales,Calcular una integral por cambio de variable,2
Integrales,Calcular una integral por partes,2
Integrales,Calcular una integral racional,2
Integrales,Calcular una integral trigonométrica,2
Integrales,Expresar integral indefinida sumando una constante,1
Integrales,Calcular una integral definida a partir de su primitiva aplicando la regla de Barrow,2
Integrales,Calcular el área entre la gráfica de una función y el eje x en un intervalo,2
Integrales,Calcular el área entre las gráficas de dos funciones en un intervalo,2
EDO,Identificar las variables dependiente e independiente en una ecuación diferencial,1
EDO,Identificar la derivada de la variable dependiente en una ecuación diferencial,1
EDO,Multiplicar por una constante para expresar la proporcionalidad ,1
EDO,Deducir la ecuación diferencial del enunciado,3
EDO,Separar las variables de una ecuación diferencial de variables separables,1
EDO,Obtener la solución general de una ecuación diferencial,2
EDO,Identificar las condiciones iniciales de un problema del valor inicial,1
EDO,Obtener la solución particular de una ecuación diferencial,2
Derivadas varias variables,Calcular derivadas parciales de primer orden,3
Derivadas varias variables,Calcular derivadas parciales de segundo orden,3
Derivadas varias variables,Interpretar la derivada parcial,2
Derivadas varias variables,Interpretar geométricamente la derivada parcial,2
Derivadas varias variables,Calcular el vector gradiente,2
Derivadas varias variables,Interpretar el vector gradiente,3
Derivadas varias variables,Identifcar el vector que indica la dirección de un movimiento en el plano o en el espacio,2
Derivadas varias variables,Calcular la derivada direccional,2
Derivadas varias variables,Interpretar la derivada direccional,3
